audit_id,supplier_id,audit_date,standard,clause,finding_type,severity,description,corrective_action_required,corrective_action_description,due_date,closure_date,status
AUD-00097,SPLR-040,9/6/2022,ISO 9001:2015,9.1,Non-conformance,Major,Management review records lack evidence of action tracking.,Yes,Conduct training sessions and maintain attendance logs.,11/20/2022,11/20/2022,Closed
AUD-00098,SPLR-083,7/10/2022,ISO 9001:2015,10.2,Non-conformance,Major,Lack of evidence for calibration records of measuring equipment.,Yes,Define and communicate complaint handling procedure.,10/8/2022,10/5/2022,Closed
AUD-00099,SPLR-071,8/21/2023,IATF 16949,8.2,Non-conformance,Major,Customer complaint process not well-defined in procedure.,Yes,Define and communicate complaint handling procedure.,10/5/2023,10/24/2023,Closed
AUD-00100,SPLR-044,1/26/2023,ISO 9001:2015,10.2,Observation,Minor,Lack of evidence for calibration records of measuring equipment.,Yes,Integrate risk assessment into supplier evaluation template.,4/15/2023,5/1/2023,Closed
AUD-00101,SPLR-058,8/3/2023,IATF 16949,10.1,Observation,Major,Management review records lack evidence of action tracking.,Yes,Define and communicate complaint handling procedure.,10/27/2023,10/26/2023,Closed
AUD-00102,SPLR-074,11/12/2023,IATF 16949,8.3,Observation,Minor,Preventive maintenance schedule not adhered to.,Yes,Conduct training sessions and maintain attendance logs.,1/25/2024,1/30/2024,Closed
AUD-00103,SPLR-064,4/21/2024,ISO 9001:2015,6.2,Non-conformance,Minor,Customer complaint process not well-defined in procedure.,Yes,Enhance traceability documentation for all lot numbers.,6/14/2024,6/13/2024,Closed
AUD-00104,SPLR-002,10/25/2024,IATF 16949,5.1,Non-conformance,Major,Customer complaint process not well-defined in procedure.,Yes,Update calibration records and schedule preventive calibration.,12/27/2024,1/15/2025,Closed
AUD-00105,SPLR-084,11/13/2022,ISO 9001:2015,7.2,Non-conformance,Major,Supplier evaluation process missing risk assessment steps.,Yes,Develop and follow a strict maintenance timetable.,1/21/2023,2/5/2023,Closed
AUD-00106,SPLR-009,12/28/2024,IATF 16949,7.2,Non-conformance,Major,Customer complaint process not well-defined in procedure.,Yes,Expand audit scope and ensure full coverage.,1/29/2025,2/27/2025,Closed
AUD-00107,SPLR-089,4/11/2023,ISO 9001:2015,7.1,Observation,Minor,Lack of evidence for calibration records of measuring equipment.,Yes,Update calibration records and schedule preventive calibration.,6/8/2023,6/8/2023,Closed
AUD-00108,SPLR-019,4/5/2022,IATF 16949,4.2,Non-conformance,Major,Supplier evaluation process missing risk assessment steps.,Yes,Develop and follow a strict maintenance timetable.,5/28/2022,6/14/2022,Closed
AUD-00109,SPLR-080,3/5/2025,ISO 9001:2015,5.1,Non-conformance,Major,Control of non-conforming product is not effectively implemented.,Yes,Update calibration records and schedule preventive calibration.,5/13/2025,5/27/2025,Open
AUD-00110,SPLR-086,4/9/2025,ISO 9001:2015,5.2,Non-conformance,Major,Customer complaint process not well-defined in procedure.,Yes,Integrate risk assessment into supplier evaluation template.,6/7/2025,6/13/2025,Open
AUD-00111,SPLR-082,8/13/2023,ISO 9001:2015,4.2,Observation,Major,Customer complaint process not well-defined in procedure.,Yes,Develop and follow a strict maintenance timetable.,10/19/2023,10/28/2023,Closed
AUD-00112,SPLR-049,7/24/2024,IATF 16949,6.1,Observation,Major,Traceability records incomplete for critical components.,Yes,Define and communicate complaint handling procedure.,8/29/2024,9/3/2024,Closed
AUD-00113,SPLR-088,8/28/2023,ISO 9001:2015,10.2,Non-conformance,Major,Traceability records incomplete for critical components.,Yes,Integrate risk assessment into supplier evaluation template.,9/27/2023,10/23/2023,Closed
AUD-00114,SPLR-080,8/10/2023,ISO 9001:2015,8.2,Observation,Minor,Preventive maintenance schedule not adhered to.,Yes,Conduct training sessions and maintain attendance logs.,10/19/2023,10/21/2023,Closed
AUD-00115,SPLR-094,7/18/2022,ISO 9001:2015,6.1,Non-conformance,Minor,Customer complaint process not well-defined in procedure.,Yes,Revise and train staff on procedure adherence.,9/23/2022,10/6/2022,Closed
AUD-00116,SPLR-047,8/28/2023,IATF 16949,8.2,Observation,Minor,Control of non-conforming product is not effectively implemented.,Yes,Conduct training sessions and maintain attendance logs.,10/5/2023,10/29/2023,Closed
AUD-00117,SPLR-019,6/11/2023,IATF 16949,7.1,Non-conformance,Major,Preventive maintenance schedule not adhered to.,Yes,Update calibration records and schedule preventive calibration.,8/9/2023,8/3/2023,Closed
AUD-00118,SPLR-016,2/15/2025,IATF 16949,4.3,Observation,Major,Traceability records incomplete for critical components.,Yes,Revise and train staff on procedure adherence.,4/2/2025,4/26/2025,Closed
AUD-00119,SPLR-061,6/21/2023,IATF 16949,10.3,Non-conformance,Major,Preventive maintenance schedule not adhered to.,Yes,Update calibration records and schedule preventive calibration.,9/2/2023,9/6/2023,Closed
AUD-00120,SPLR-015,3/30/2023,ISO 9001:2015,9.1,Non-conformance,Minor,Customer complaint process not well-defined in procedure.,Yes,Integrate risk assessment into supplier evaluation template.,6/9/2023,6/25/2023,Closed
AUD-00121,SPLR-018,3/18/2022,IATF 16949,9.1,Observation,Major,Lack of evidence for calibration records of measuring equipment.,Yes,Update calibration records and schedule preventive calibration.,5/2/2022,5/26/2022,Closed
AUD-00122,SPLR-063,1/30/2024,IATF 16949,10.1,Observation,Major,Control of non-conforming product is not effectively implemented.,Yes,Enhance traceability documentation for all lot numbers.,4/10/2024,4/6/2024,Closed
AUD-00123,SPLR-047,3/9/2022,IATF 16949,6.1,Non-conformance,Major,Customer complaint process not well-defined in procedure.,Yes,Define and communicate complaint handling procedure.,6/7/2022,6/12/2022,Closed
AUD-00124,SPLR-059,1/20/2025,IATF 16949,4.2,Non-conformance,Minor,Traceability records incomplete for critical components.,Yes,Integrate risk assessment into supplier evaluation template.,3/3/2025,2/28/2025,Closed
AUD-00125,SPLR-027,2/13/2022,ISO 9001:2015,10.1,Non-conformance,Minor,Preventive maintenance schedule not adhered to.,Yes,Conduct training sessions and maintain attendance logs.,3/23/2022,4/18/2022,Closed
AUD-00126,SPLR-077,4/15/2025,ISO 9001:2015,10.2,Non-conformance,Major,Inadequate training records for new operators.,Yes,Develop and follow a strict maintenance timetable.,7/3/2025,7/2/2025,Open
AUD-00127,SPLR-017,10/24/2022,ISO 9001:2015,8.1,Non-conformance,Major,Supplier evaluation process missing risk assessment steps.,Yes,Implement formal non-conformance containment measures.,11/30/2022,11/21/2022,Closed
AUD-00128,SPLR-095,5/3/2023,IATF 16949,4.1,Observation,Minor,Control of non-conforming product is not effectively implemented.,Yes,Integrate risk assessment into supplier evaluation template.,6/5/2023,6/3/2023,Closed
AUD-00129,SPLR-058,5/11/2022,IATF 16949,8.3,Non-conformance,Minor,Preventive maintenance schedule not adhered to.,Yes,Expand audit scope and ensure full coverage.,7/17/2022,7/13/2022,Closed
AUD-00130,SPLR-055,12/3/2024,IATF 16949,8.3,Non-conformance,Major,Documented procedure not followed during batch production.,Yes,Revise and train staff on procedure adherence.,2/1/2025,2/16/2025,Closed
AUD-00131,SPLR-017,6/27/2024,ISO 9001:2015,4.2,Observation,Major,Preventive maintenance schedule not adhered to.,Yes,Document action items and track their closure status.,8/5/2024,7/30/2024,Closed
AUD-00132,SPLR-090,2/20/2024,IATF 16949,8.3,Non-conformance,Minor,Internal audit scope does not cover all processes.,Yes,Document action items and track their closure status.,4/17/2024,4/13/2024,Closed
AUD-00133,SPLR-052,5/30/2024,IATF 16949,6.2,Observation,Minor,Traceability records incomplete for critical components.,Yes,Develop and follow a strict maintenance timetable.,8/20/2024,9/8/2024,Closed
AUD-00134,SPLR-009,10/3/2023,IATF 16949,7.2,Non-conformance,Minor,Supplier evaluation process missing risk assessment steps.,Yes,Develop and follow a strict maintenance timetable.,11/11/2023,12/1/2023,Closed
AUD-00135,SPLR-076,7/10/2022,IATF 16949,5.1,Observation,Minor,Preventive maintenance schedule not adhered to.,Yes,Implement formal non-conformance containment measures.,9/13/2022,9/6/2022,Closed
AUD-00136,SPLR-046,4/21/2024,IATF 16949,8.2,Non-conformance,Minor,Documented procedure not followed during batch production.,Yes,Integrate risk assessment into supplier evaluation template.,6/28/2024,7/7/2024,Closed
AUD-00137,SPLR-048,11/13/2022,IATF 16949,6.2,Non-conformance,Major,Lack of evidence for calibration records of measuring equipment.,Yes,Develop and follow a strict maintenance timetable.,2/5/2023,3/2/2023,Closed
AUD-00138,SPLR-079,3/21/2025,ISO 9001:2015,10.1,Non-conformance,Major,Traceability records incomplete for critical components.,Yes,Expand audit scope and ensure full coverage.,6/8/2025,7/7/2025,Open
AUD-00139,SPLR-024,3/1/2022,ISO 9001:2015,6.1,Non-conformance,Major,Supplier evaluation process missing risk assessment steps.,Yes,Develop and follow a strict maintenance timetable.,4/22/2022,4/12/2022,Closed
AUD-00140,SPLR-028,5/23/2022,ISO 9001:2015,9.2,Observation,Major,Documented procedure not followed during batch production.,Yes,Update calibration records and schedule preventive calibration.,8/8/2022,8/31/2022,Closed
