supplier_id,year_month,on_time_delivery_pct,promised_lead_time_days,actual_lead_time_days,schedule_deviation_days
SPLR-055,2022-05,88.91,30,31,1
SPLR-056,2022-05,90.33,30,25,-5
SPLR-057,2022-05,90.92,30,26,-4
SPLR-058,2022-05,91.88,30,27,-3
SPLR-059,2022-05,89.68,30,34,4
SPLR-060,2022-05,90.99,30,26,-4
SPLR-061,2022-05,87.97,30,28,-2
SPLR-062,2022-05,90.79,30,31,1
SPLR-063,2022-05,88.31,30,26,-4
SPLR-064,2022-05,90.56,30,29,-1
SPLR-065,2022-05,94.31,30,30,0
SPLR-066,2022-05,93.63,30,26,-4
SPLR-067,2022-05,86.85,30,26,-4
SPLR-068,2022-05,92.38,30,35,5
SPLR-069,2022-05,88.44,30,28,-2
SPLR-070,2022-05,87.66,30,24,-6
SPLR-071,2022-05,91.44,30,30,0
SPLR-072,2022-05,90.02,30,25,-5
SPLR-073,2022-05,93.28,30,28,-2
SPLR-074,2022-05,91.07,30,25,-5
SPLR-075,2022-05,89.62,30,30,0
SPLR-076,2022-05,90.65,30,30,0
SPLR-077,2022-05,90.99,30,26,-4
SPLR-078,2022-05,90.39,30,30,0
SPLR-079,2022-05,90.46,30,30,0
SPLR-080,2022-05,87.45,30,26,-4
SPLR-081,2022-05,85.57,30,32,2
SPLR-082,2022-05,91.66,30,32,2
SPLR-083,2022-05,90.61,30,23,-7
SPLR-084,2022-05,87.95,30,30,0
SPLR-085,2022-05,90.27,30,29,-1
SPLR-086,2022-05,90.74,30,30,0
SPLR-087,2022-05,90.24,30,28,-2
SPLR-088,2022-05,91.96,30,28,-2
SPLR-089,2022-05,87.34,30,27,-3
SPLR-090,2022-05,89.3,30,32,2
SPLR-091,2022-05,89.92,30,29,-1
SPLR-092,2022-05,87.5,30,32,2
SPLR-093,2022-05,88.7,30,29,-1
SPLR-094,2022-05,92.96,30,31,1
SPLR-095,2022-05,86.74,30,24,-6
SPLR-096,2022-05,89.87,30,26,-4
SPLR-097,2022-05,91.3,30,30,0
SPLR-098,2022-05,90.33,30,27,-3
SPLR-099,2022-05,93.48,30,38,8
SPLR-100,2022-05,89.44,30,31,1
SPLR-001,2022-06,90.73,32,31,-1
SPLR-002,2022-06,88.87,32,29,-3
SPLR-003,2022-06,88.26,32,33,1
SPLR-004,2022-06,89.5,32,24,-8
SPLR-005,2022-06,91.43,32,32,0
SPLR-006,2022-06,93.23,32,33,1
SPLR-007,2022-06,87.58,32,25,-7
SPLR-008,2022-06,89.1,32,30,-2
SPLR-009,2022-06,92.42,32,32,0
SPLR-010,2022-06,92.8,32,28,-4
SPLR-011,2022-06,92.47,32,34,2
SPLR-012,2022-06,86.5,32,36,4
SPLR-013,2022-06,90.72,32,33,1
SPLR-014,2022-06,88.81,32,36,4
SPLR-015,2022-06,88.16,32,34,2
SPLR-016,2022-06,92.18,32,29,-3
SPLR-017,2022-06,94.5,32,33,1
SPLR-018,2022-06,91.84,32,27,-5
SPLR-019,2022-06,94.77,32,28,-4
SPLR-020,2022-06,92.59,32,29,-3
SPLR-021,2022-06,89.3,32,34,2
SPLR-022,2022-06,92.59,32,28,-4
SPLR-023,2022-06,92.72,32,35,3
SPLR-024,2022-06,88.66,32,37,5
SPLR-025,2022-06,87.62,32,30,-2
SPLR-026,2022-06,91.49,32,29,-3
SPLR-027,2022-06,91.06,32,33,1
SPLR-028,2022-06,90.16,32,34,2
SPLR-029,2022-06,90.08,32,33,1
SPLR-030,2022-06,92.83,32,34,2
SPLR-031,2022-06,92.11,32,29,-3
SPLR-032,2022-06,91.59,32,29,-3
SPLR-033,2022-06,87.97,32,32,0
SPLR-034,2022-06,88.73,32,34,2
SPLR-035,2022-06,92.16,32,26,-6
SPLR-036,2022-06,88.88,32,28,-4
SPLR-037,2022-06,89.61,32,33,1
SPLR-038,2022-06,90.05,32,30,-2
SPLR-039,2022-06,93.14,32,25,-7
SPLR-040,2022-06,93.01,32,30,-2
SPLR-041,2022-06,90.38,32,30,-2
SPLR-042,2022-06,93.62,32,28,-4
SPLR-043,2022-06,90.56,32,34,2
SPLR-044,2022-06,87.31,32,29,-3
SPLR-045,2022-06,90.24,32,29,-3
SPLR-046,2022-06,88.9,32,31,-1
SPLR-047,2022-06,91.84,32,31,-1
SPLR-048,2022-06,92.69,32,29,-3
SPLR-049,2022-06,88.03,32,38,6
SPLR-050,2022-06,89.22,32,28,-4
SPLR-051,2022-06,87.05,32,35,3
SPLR-052,2022-06,89.85,32,31,-1
SPLR-053,2022-06,90.22,32,35,3
SPLR-054,2022-06,90.18,32,39,7
SPLR-055,2022-06,90.8,32,35,3
SPLR-056,2022-06,92.15,32,32,0
SPLR-057,2022-06,89.36,32,33,1
SPLR-058,2022-06,91.56,32,30,-2
SPLR-059,2022-06,90.87,32,36,4
SPLR-060,2022-06,94.68,32,35,3
SPLR-061,2022-06,94.26,32,30,-2
SPLR-062,2022-06,91.94,32,36,4
SPLR-063,2022-06,88.74,32,31,-1
SPLR-064,2022-06,94.01,32,29,-3
SPLR-065,2022-06,87.85,32,37,5
SPLR-066,2022-06,92.93,32,33,1
SPLR-067,2022-06,90.44,32,31,-1
SPLR-068,2022-06,91.1,32,37,5
SPLR-069,2022-06,91.01,32,39,7
SPLR-070,2022-06,88.74,32,32,0
SPLR-071,2022-06,89.79,32,29,-3
SPLR-072,2022-06,90.23,32,33,1
SPLR-073,2022-06,91.58,32,39,7
SPLR-074,2022-06,91.46,32,35,3
SPLR-075,2022-06,90.67,32,37,5
SPLR-076,2022-06,95.33,32,34,2
SPLR-077,2022-06,88.55,32,30,-2
SPLR-078,2022-06,91.1,32,33,1
SPLR-079,2022-06,91.93,32,33,1
SPLR-080,2022-06,90.55,32,30,-2
SPLR-081,2022-06,91.34,32,38,6
SPLR-082,2022-06,92.58,32,34,2
SPLR-083,2022-06,92.6,32,31,-1
SPLR-084,2022-06,89.52,32,30,-2
SPLR-085,2022-06,90.29,32,31,-1
SPLR-086,2022-06,92.95,32,31,-1
SPLR-087,2022-06,88.93,32,38,6
SPLR-088,2022-06,89.63,32,32,0
SPLR-089,2022-06,91.44,32,29,-3
SPLR-090,2022-06,93.01,32,34,2
SPLR-091,2022-06,93.65,32,30,-2
SPLR-092,2022-06,90.73,32,32,0
SPLR-093,2022-06,91.06,32,28,-4
SPLR-094,2022-06,90.76,32,28,-4
SPLR-095,2022-06,91.25,32,26,-6
SPLR-096,2022-06,86.83,32,34,2
SPLR-097,2022-06,89.44,32,29,-3
SPLR-098,2022-06,93.08,32,33,1
SPLR-099,2022-06,92.28,32,32,0
SPLR-100,2022-06,95.9,32,30,-2
SPLR-001,2022-07,95.49,34,34,0
SPLR-002,2022-07,88.69,34,35,1
SPLR-003,2022-07,92.63,34,31,-3
SPLR-004,2022-07,90.16,34,34,0
SPLR-005,2022-07,92.7,34,26,-8
SPLR-006,2022-07,94.11,34,32,-2
SPLR-007,2022-07,89.34,34,37,3
SPLR-008,2022-07,91.95,34,37,3
SPLR-009,2022-07,92.88,34,34,0
SPLR-010,2022-07,91.69,34,35,1
SPLR-011,2022-07,91.17,34,31,-3
SPLR-012,2022-07,93.22,34,33,-1
SPLR-013,2022-07,92.07,34,37,3
SPLR-014,2022-07,91.77,34,34,0
SPLR-015,2022-07,90.8,34,35,1
SPLR-016,2022-07,92.7,34,37,3
SPLR-017,2022-07,90.84,34,32,-2
SPLR-018,2022-07,93.58,34,35,1
SPLR-019,2022-07,90.19,34,38,4
SPLR-020,2022-07,88.6,34,36,2
SPLR-021,2022-07,89.47,34,39,5
SPLR-022,2022-07,88.91,34,37,3
SPLR-023,2022-07,91.84,34,33,-1
SPLR-024,2022-07,92.37,34,36,2
SPLR-025,2022-07,90.19,34,31,-3
SPLR-026,2022-07,93.3,34,29,-5
SPLR-027,2022-07,90.83,34,43,9
SPLR-028,2022-07,90.06,34,37,3
SPLR-029,2022-07,90.83,34,35,1
SPLR-030,2022-07,93.31,34,37,3
SPLR-031,2022-07,91.6,34,40,6
SPLR-032,2022-07,90.82,34,35,1
SPLR-033,2022-07,92.49,34,30,-4
SPLR-034,2022-07,91.43,34,34,0
SPLR-035,2022-07,91.14,34,41,7
SPLR-036,2022-07,90.32,34,37,3
SPLR-037,2022-07,93.71,34,34,0
SPLR-038,2022-07,90.27,34,32,-2
SPLR-039,2022-07,90.96,34,28,-6
SPLR-040,2022-07,89.99,34,29,-5
SPLR-041,2022-07,94.69,34,36,2
SPLR-042,2022-07,93.57,34,36,2
SPLR-043,2022-07,92.33,34,38,4
SPLR-044,2022-07,90.78,34,34,0
SPLR-045,2022-07,93.49,34,30,-4
SPLR-046,2022-07,98.19,34,34,0
SPLR-047,2022-07,92.28,34,38,4
SPLR-048,2022-07,93.83,34,34,0
SPLR-049,2022-07,92.26,34,29,-5
SPLR-050,2022-07,90.89,34,35,1
SPLR-051,2022-07,92.89,34,37,3
SPLR-052,2022-07,91.76,34,30,-4
SPLR-053,2022-07,94.11,34,38,4
SPLR-054,2022-07,93.8,34,33,-1
SPLR-055,2022-07,94.09,34,44,10
SPLR-056,2022-07,92.23,34,30,-4
SPLR-057,2022-07,90.83,34,36,2
SPLR-058,2022-07,88.79,34,34,0
SPLR-059,2022-07,92.76,34,38,4
SPLR-060,2022-07,94.62,34,36,2
SPLR-061,2022-07,87.67,34,37,3
SPLR-062,2022-07,93.41,34,35,1
SPLR-063,2022-07,88.54,34,31,-3
SPLR-064,2022-07,89.67,34,28,-6
SPLR-065,2022-07,91.99,34,31,-3
SPLR-066,2022-07,97.25,34,33,-1
SPLR-067,2022-07,94.59,34,29,-5
SPLR-068,2022-07,90.94,34,34,0
SPLR-069,2022-07,90.18,34,33,-1
SPLR-070,2022-07,91.56,34,33,-1
SPLR-071,2022-07,95.71,34,35,1
SPLR-072,2022-07,92.96,34,35,1
SPLR-073,2022-07,93.23,34,34,0
SPLR-074,2022-07,91.36,34,34,0
SPLR-075,2022-07,94.31,34,37,3
SPLR-076,2022-07,91.52,34,36,2
SPLR-077,2022-07,91.61,34,34,0
SPLR-078,2022-07,91.05,34,33,-1
SPLR-079,2022-07,94.68,34,34,0
SPLR-080,2022-07,92.27,34,29,-5
SPLR-081,2022-07,91.38,34,33,-1
SPLR-082,2022-07,90.34,34,34,0
SPLR-083,2022-07,91.14,34,34,0
SPLR-084,2022-07,92.24,34,31,-3
SPLR-085,2022-07,91.2,34,34,0
SPLR-086,2022-07,94.37,34,35,1
SPLR-087,2022-07,90.68,34,35,1
SPLR-088,2022-07,95.42,34,37,3
SPLR-089,2022-07,93.1,34,36,2
SPLR-090,2022-07,94.88,34,37,3
SPLR-091,2022-07,93.13,34,37,3
SPLR-092,2022-07,89.84,34,29,-5
SPLR-093,2022-07,92.31,34,34,0
SPLR-094,2022-07,90.91,34,36,2
SPLR-095,2022-07,88.27,34,32,-2
SPLR-096,2022-07,91.03,34,29,-5
SPLR-097,2022-07,94.99,34,30,-4
SPLR-098,2022-07,90.82,34,37,3
SPLR-099,2022-07,93.29,34,31,-3
SPLR-100,2022-07,93.36,34,35,1
SPLR-001,2022-08,98.67,35,36,1
SPLR-002,2022-08,93.72,35,32,-3
SPLR-003,2022-08,92.51,35,32,-3
SPLR-004,2022-08,96.74,35,35,0
SPLR-005,2022-08,95.13,35,39,4
SPLR-006,2022-08,89.28,35,38,3
SPLR-007,2022-08,94.11,35,36,1
SPLR-008,2022-08,92.34,35,32,-3
SPLR-009,2022-08,94.98,35,42,7
SPLR-010,2022-08,96.01,35,38,3
SPLR-011,2022-08,93.62,35,33,-2
SPLR-012,2022-08,92.44,35,33,-2
SPLR-013,2022-08,89.89,35,32,-3
SPLR-014,2022-08,92.88,35,34,-1
SPLR-015,2022-08,94.26,35,36,1
SPLR-016,2022-08,93.97,35,33,-2
SPLR-017,2022-08,90.07,35,33,-2
SPLR-018,2022-08,92.06,35,36,1
SPLR-019,2022-08,95.82,35,37,2
SPLR-020,2022-08,95.51,35,34,-1
SPLR-021,2022-08,92.96,35,32,-3
SPLR-022,2022-08,90.99,35,37,2
SPLR-023,2022-08,93.65,35,31,-4
SPLR-024,2022-08,92.35,35,32,-3
SPLR-025,2022-08,94.09,35,38,3
SPLR-026,2022-08,93.3,35,28,-7
SPLR-027,2022-08,93.62,35,34,-1
SPLR-028,2022-08,93.55,35,33,-2
SPLR-029,2022-08,94.43,35,35,0
SPLR-030,2022-08,93.95,35,36,1
SPLR-031,2022-08,93.14,35,33,-2
SPLR-032,2022-08,96.76,35,36,1
SPLR-033,2022-08,95.65,35,38,3
SPLR-034,2022-08,95.05,35,37,2
SPLR-035,2022-08,90.84,35,35,0
SPLR-036,2022-08,93.63,35,40,5
SPLR-037,2022-08,95.86,35,33,-2
SPLR-038,2022-08,94.75,35,35,0
SPLR-039,2022-08,94.91,35,31,-4
SPLR-040,2022-08,94.72,35,34,-1
SPLR-041,2022-08,94.56,35,32,-3
SPLR-042,2022-08,92.83,35,38,3
SPLR-043,2022-08,91.9,35,32,-3
SPLR-044,2022-08,93.9,35,32,-3
SPLR-045,2022-08,92.23,35,35,0
SPLR-046,2022-08,90.99,35,31,-4
SPLR-047,2022-08,98.11,35,36,1
SPLR-048,2022-08,92.51,35,36,1
SPLR-049,2022-08,95.13,35,37,2
SPLR-050,2022-08,93.75,35,37,2
SPLR-051,2022-08,89.92,35,31,-4
SPLR-052,2022-08,94.33,35,35,0
SPLR-053,2022-08,92.18,35,35,0
SPLR-054,2022-08,92.75,35,34,-1
SPLR-055,2022-08,96.05,35,37,2
SPLR-056,2022-08,92.01,35,31,-4
SPLR-057,2022-08,93.18,35,34,-1
SPLR-058,2022-08,92.68,35,38,3
SPLR-059,2022-08,94.69,35,36,1
SPLR-060,2022-08,91.47,35,38,3
SPLR-061,2022-08,88.36,35,37,2
SPLR-062,2022-08,95.87,35,33,-2
SPLR-063,2022-08,96.55,35,34,-1
SPLR-064,2022-08,94.12,35,36,1
SPLR-065,2022-08,100.0,35,39,4
SPLR-066,2022-08,95.4,35,32,-3
SPLR-067,2022-08,94.29,35,32,-3
SPLR-068,2022-08,95.64,35,35,0
SPLR-069,2022-08,91.75,35,35,0
SPLR-070,2022-08,92.3,35,35,0
SPLR-071,2022-08,92.28,35,35,0
SPLR-072,2022-08,95.5,35,34,-1
SPLR-073,2022-08,93.22,35,35,0
SPLR-074,2022-08,95.39,35,31,-4
SPLR-075,2022-08,94.52,35,38,3
SPLR-076,2022-08,95.15,35,35,0
SPLR-077,2022-08,95.28,35,36,1
SPLR-078,2022-08,95.51,35,28,-7
SPLR-079,2022-08,90.89,35,38,3
SPLR-080,2022-08,90.99,35,36,1
SPLR-081,2022-08,93.3,35,32,-3
SPLR-082,2022-08,94.7,35,35,0
SPLR-083,2022-08,98.22,35,33,-2
SPLR-084,2022-08,96.88,35,36,1
SPLR-085,2022-08,92.68,35,37,2
SPLR-086,2022-08,95.13,35,35,0
SPLR-087,2022-08,94.53,35,33,-2
SPLR-088,2022-08,92.35,35,37,2
SPLR-089,2022-08,93.55,35,34,-1
SPLR-090,2022-08,94.56,35,35,0
SPLR-091,2022-08,91.14,35,38,3
SPLR-092,2022-08,94.24,35,34,-1
SPLR-093,2022-08,94.86,35,35,0
SPLR-094,2022-08,95.53,35,36,1
SPLR-095,2022-08,95.44,35,39,4
SPLR-096,2022-08,95.77,35,34,-1
SPLR-097,2022-08,91.75,35,40,5
SPLR-098,2022-08,93.52,35,33,-2
SPLR-099,2022-08,90.53,35,36,1
SPLR-100,2022-08,94.3,35,30,-5
SPLR-001,2022-09,96.91,34,32,-2
SPLR-002,2022-09,100.0,34,32,-2
SPLR-003,2022-09,95.13,34,31,-3
SPLR-004,2022-09,98.56,34,33,-1
SPLR-005,2022-09,94.55,34,36,2
SPLR-006,2022-09,93.24,34,36,2
SPLR-007,2022-09,99.56,34,36,2
SPLR-008,2022-09,97.28,34,36,2
SPLR-009,2022-09,99.42,34,37,3
SPLR-010,2022-09,96.88,34,37,3
SPLR-011,2022-09,94.23,34,36,2
SPLR-012,2022-09,93.99,34,33,-1
SPLR-013,2022-09,89.83,34,35,1
SPLR-014,2022-09,94.71,34,37,3
SPLR-015,2022-09,96.78,34,37,3
SPLR-016,2022-09,93.83,34,37,3
SPLR-017,2022-09,100.0,34,36,2
SPLR-018,2022-09,97.58,34,34,0
SPLR-019,2022-09,94.95,34,36,2
SPLR-020,2022-09,92.99,34,33,-1
SPLR-021,2022-09,92.46,34,32,-2
SPLR-022,2022-09,97.28,34,35,1
SPLR-023,2022-09,96.1,34,34,0
SPLR-024,2022-09,92.23,34,33,-1
SPLR-025,2022-09,94.64,34,32,-2
SPLR-026,2022-09,97.2,34,31,-3
SPLR-027,2022-09,94.79,34,28,-6
SPLR-028,2022-09,95.41,34,31,-3
SPLR-029,2022-09,96.16,34,31,-3
SPLR-030,2022-09,96.21,34,33,-1
SPLR-031,2022-09,99.34,34,35,1
SPLR-032,2022-09,92.32,34,30,-4
SPLR-033,2022-09,96.11,34,31,-3
SPLR-034,2022-09,90.06,34,38,4
SPLR-035,2022-09,97.44,34,35,1
SPLR-036,2022-09,94.79,34,35,1
SPLR-037,2022-09,94.59,34,34,0
SPLR-038,2022-09,94.16,34,38,4
SPLR-039,2022-09,92.86,34,38,4
SPLR-040,2022-09,96.08,34,32,-2
SPLR-041,2022-09,96.33,34,36,2
SPLR-042,2022-09,98.73,34,35,1
SPLR-043,2022-09,94.22,34,34,0
SPLR-044,2022-09,99.63,34,38,4
SPLR-045,2022-09,97.82,34,36,2
SPLR-046,2022-09,97.4,34,37,3
SPLR-047,2022-09,95.09,34,30,-4
SPLR-048,2022-09,96.14,34,31,-3
SPLR-049,2022-09,93.89,34,32,-2
SPLR-050,2022-09,100.0,34,34,0
SPLR-051,2022-09,96.72,34,30,-4
SPLR-052,2022-09,92.31,34,31,-3
SPLR-053,2022-09,98.88,34,35,1
SPLR-054,2022-09,97.2,34,36,2
SPLR-055,2022-09,94.82,34,38,4
SPLR-056,2022-09,94.73,34,38,4
SPLR-057,2022-09,96.88,34,28,-6
SPLR-058,2022-09,94.5,34,28,-6
SPLR-059,2022-09,98.33,34,34,0
SPLR-060,2022-09,91.54,34,35,1
SPLR-061,2022-09,94.93,34,29,-5
SPLR-062,2022-09,99.36,34,34,0
SPLR-063,2022-09,95.41,34,33,-1
SPLR-064,2022-09,92.97,34,30,-4
SPLR-065,2022-09,98.57,34,32,-2
SPLR-066,2022-09,96.04,34,28,-6
SPLR-067,2022-09,93.36,34,36,2
SPLR-068,2022-09,96.76,34,39,5
SPLR-069,2022-09,98.69,34,33,-1
SPLR-070,2022-09,96.95,34,33,-1
SPLR-071,2022-09,100.0,34,37,3
SPLR-072,2022-09,96.34,34,34,0
SPLR-073,2022-09,98.89,34,36,2
SPLR-074,2022-09,99.12,34,27,-7
SPLR-075,2022-09,96.92,34,32,-2
SPLR-076,2022-09,99.51,34,38,4
SPLR-077,2022-09,96.07,34,38,4
SPLR-078,2022-09,99.57,34,34,0
SPLR-079,2022-09,100.0,34,34,0
SPLR-080,2022-09,95.57,34,36,2
SPLR-081,2022-09,95.29,34,34,0
SPLR-082,2022-09,98.82,34,34,0
SPLR-083,2022-09,92.61,34,35,1
SPLR-084,2022-09,94.61,34,36,2
SPLR-085,2022-09,97.39,34,38,4
SPLR-086,2022-09,97.82,34,37,3
SPLR-087,2022-09,94.66,34,36,2
SPLR-088,2022-09,99.94,34,32,-2
SPLR-089,2022-09,99.6,34,32,-2
SPLR-090,2022-09,94.3,34,35,1
SPLR-091,2022-09,97.43,34,37,3
SPLR-092,2022-09,94.08,34,35,1
SPLR-093,2022-09,94.63,34,29,-5
SPLR-094,2022-09,94.14,34,32,-2
SPLR-095,2022-09,97.04,34,37,3
SPLR-096,2022-09,93.05,34,35,1
SPLR-097,2022-09,93.65,34,36,2
SPLR-098,2022-09,94.75,34,31,-3
SPLR-099,2022-09,97.6,34,32,-2
SPLR-100,2022-09,95.37,34,27,-7
SPLR-001,2022-10,99.36,32,34,2
SPLR-002,2022-10,97.48,32,27,-5
SPLR-003,2022-10,99.88,32,30,-2
SPLR-004,2022-10,96.56,32,39,7
SPLR-005,2022-10,96.06,32,34,2
SPLR-006,2022-10,98.59,32,33,1
SPLR-007,2022-10,98.03,32,33,1
SPLR-008,2022-10,98.01,32,32,0
SPLR-009,2022-10,100.0,32,28,-4
SPLR-010,2022-10,99.51,32,34,2
SPLR-011,2022-10,98.86,32,35,3
SPLR-012,2022-10,97.28,32,26,-6
SPLR-013,2022-10,97.32,32,29,-3
SPLR-014,2022-10,96.0,32,28,-4
SPLR-015,2022-10,96.51,32,30,-2
SPLR-016,2022-10,92.71,32,34,2
SPLR-017,2022-10,100.0,32,34,2
SPLR-018,2022-10,97.06,32,32,0
SPLR-019,2022-10,96.62,32,32,0
SPLR-020,2022-10,97.39,32,29,-3
SPLR-021,2022-10,100.0,32,28,-4
SPLR-022,2022-10,98.9,32,32,0
SPLR-023,2022-10,100.0,32,33,1
SPLR-024,2022-10,96.74,32,31,-1
SPLR-025,2022-10,97.54,32,29,-3
SPLR-026,2022-10,95.93,32,27,-5
SPLR-027,2022-10,95.62,32,32,0
SPLR-028,2022-10,98.06,32,26,-6
SPLR-029,2022-10,97.19,32,34,2
SPLR-030,2022-10,97.14,32,30,-2
SPLR-031,2022-10,96.64,32,30,-2
SPLR-032,2022-10,96.19,32,33,1
SPLR-033,2022-10,100.0,32,30,-2
SPLR-034,2022-10,96.83,32,32,0
SPLR-035,2022-10,96.09,32,35,3
SPLR-036,2022-10,92.72,32,30,-2
SPLR-037,2022-10,99.1,32,31,-1
SPLR-038,2022-10,95.82,32,33,1
SPLR-039,2022-10,99.28,32,33,1
SPLR-040,2022-10,95.86,32,33,1
SPLR-041,2022-10,96.66,32,34,2
SPLR-042,2022-10,100.0,32,24,-8
SPLR-043,2022-10,97.69,32,27,-5
SPLR-044,2022-10,100.0,32,31,-1
SPLR-045,2022-10,98.96,32,32,0
SPLR-046,2022-10,95.86,32,29,-3
SPLR-047,2022-10,100.0,32,35,3
SPLR-048,2022-10,100.0,32,32,0
SPLR-049,2022-10,98.04,32,31,-1
SPLR-050,2022-10,96.89,32,29,-3
SPLR-051,2022-10,97.63,32,30,-2
SPLR-052,2022-10,98.35,32,33,1
SPLR-053,2022-10,98.04,32,37,5
SPLR-054,2022-10,97.39,32,34,2
SPLR-055,2022-10,100.0,32,36,4
SPLR-056,2022-10,99.77,32,31,-1
SPLR-057,2022-10,97.92,32,28,-4
SPLR-058,2022-10,98.46,32,33,1
SPLR-059,2022-10,97.51,32,35,3
SPLR-060,2022-10,95.05,32,37,5
SPLR-061,2022-10,99.27,32,32,0
SPLR-062,2022-10,97.17,32,33,1
SPLR-063,2022-10,100.0,32,32,0
SPLR-064,2022-10,97.75,32,32,0
SPLR-065,2022-10,100.0,32,31,-1
SPLR-066,2022-10,97.41,32,36,4
SPLR-067,2022-10,97.76,32,35,3
SPLR-068,2022-10,95.64,32,31,-1
SPLR-069,2022-10,100.0,32,30,-2
SPLR-070,2022-10,97.16,32,33,1
SPLR-071,2022-10,95.49,32,31,-1
SPLR-072,2022-10,97.69,32,32,0
SPLR-073,2022-10,100.0,32,37,5
SPLR-074,2022-10,95.75,32,32,0
SPLR-075,2022-10,98.81,32,37,5
SPLR-076,2022-10,98.9,32,33,1
SPLR-077,2022-10,98.8,32,34,2
SPLR-078,2022-10,95.61,32,33,1
SPLR-079,2022-10,100.0,32,31,-1
SPLR-080,2022-10,97.72,32,31,-1
SPLR-081,2022-10,92.84,32,32,0
SPLR-082,2022-10,98.07,32,30,-2
SPLR-083,2022-10,95.15,32,29,-3
SPLR-084,2022-10,98.99,32,38,6
SPLR-085,2022-10,100.0,32,28,-4
SPLR-086,2022-10,99.17,32,30,-2
SPLR-087,2022-10,96.3,32,31,-1
SPLR-088,2022-10,98.88,32,35,3
SPLR-089,2022-10,97.27,32,32,0
SPLR-090,2022-10,98.39,32,34,2
SPLR-091,2022-10,99.82,32,28,-4
SPLR-092,2022-10,97.5,32,29,-3
SPLR-093,2022-10,97.36,32,31,-1
SPLR-094,2022-10,97.37,32,30,-2
SPLR-095,2022-10,94.49,32,26,-6
SPLR-096,2022-10,97.2,32,31,-1
SPLR-097,2022-10,96.11,32,36,4
SPLR-098,2022-10,95.75,32,36,4
SPLR-099,2022-10,100.0,32,26,-6
SPLR-100,2022-10,97.65,32,31,-1
SPLR-001,2022-11,92.18,30,25,-5
SPLR-002,2022-11,99.55,30,36,6
SPLR-003,2022-11,99.81,30,30,0
SPLR-004,2022-11,97.96,30,35,5
SPLR-005,2022-11,100.0,30,28,-2
SPLR-006,2022-11,94.0,30,23,-7
SPLR-007,2022-11,100.0,30,29,-1
SPLR-008,2022-11,98.37,30,24,-6
SPLR-009,2022-11,96.49,30,29,-1
SPLR-010,2022-11,98.42,30,28,-2
SPLR-011,2022-11,95.93,30,27,-3
SPLR-012,2022-11,100.0,30,30,0
SPLR-013,2022-11,99.22,30,27,-3
SPLR-014,2022-11,92.09,30,28,-2
SPLR-015,2022-11,96.27,30,31,1
SPLR-016,2022-11,100.0,30,32,2
SPLR-017,2022-11,100.0,30,31,1
SPLR-018,2022-11,96.74,30,31,1
SPLR-019,2022-11,100.0,30,35,5
