supplier_id,category,year_month,defect_rate_ppm,rework_percentage,ncr_count
SPLR-060,Tier 2,2022-05,1154.39,27.8,2
SPLR-061,Tier 3,2022-05,1274.15,21.98,3
SPLR-062,Tier 3,2022-05,1402.51,25.04,1
SPLR-063,Tier 3,2022-05,1128.56,25.88,0
SPLR-064,Tier 3,2022-05,941.46,23.82,0
SPLR-065,Tier 3,2022-05,1074.55,22.33,0
SPLR-066,Tier 3,2022-05,1224.84,16.94,0
SPLR-067,Tier 2,2022-05,921.26,23.33,2
SPLR-068,Tier 1,2022-05,948.7,26.08,0
SPLR-069,Tier 2,2022-05,1665.11,34.22,3
SPLR-070,Tier 2,2022-05,1307.41,21.86,0
SPLR-071,Tier 2,2022-05,938.12,24.43,0
SPLR-072,Tier 3,2022-05,941.63,33.31,0
SPLR-073,Tier 3,2022-05,993.42,21.73,0
SPLR-074,Tier 2,2022-05,1283.44,31.33,0
SPLR-075,Tier 3,2022-05,1586.87,30.16,0
SPLR-076,Tier 2,2022-05,948.63,18.6,1
SPLR-077,Tier 3,2022-05,1036.9,34.36,0
SPLR-078,Tier 2,2022-05,603.21,19.88,0
SPLR-079,Tier 2,2022-05,755.23,18.5,2
SPLR-080,Tier 2,2022-05,1403.5,17.82,2
SPLR-081,Tier 3,2022-05,1043.45,25.3,0
SPLR-082,Tier 2,2022-05,1104.64,28.31,1
SPLR-083,Tier 3,2022-05,1589.98,15.24,1
SPLR-084,Tier 3,2022-05,1138.51,21.89,0
SPLR-085,Tier 2,2022-05,1269.53,22.68,0
SPLR-086,Tier 2,2022-05,973.13,29.25,0
SPLR-087,Tier 3,2022-05,1284.97,32.26,2
SPLR-088,Tier 3,2022-05,931.97,22.2,1
SPLR-089,Tier 1,2022-05,1078.19,25.59,2
SPLR-090,Tier 1,2022-05,1432.03,22.8,1
SPLR-091,Tier 1,2022-05,1084.63,29.65,3
SPLR-092,Tier 3,2022-05,1030.63,21.93,2
SPLR-093,Tier 3,2022-05,933.78,35.46,0
SPLR-094,Tier 2,2022-05,1344.94,19.02,3
SPLR-095,Tier 1,2022-05,954.05,24.96,3
SPLR-096,Tier 2,2022-05,1208.95,31.79,0
SPLR-097,Tier 3,2022-05,1131.14,22.47,0
SPLR-098,Tier 3,2022-05,1197.07,29.36,0
SPLR-099,Tier 3,2022-05,833.52,17.96,3
SPLR-100,Tier 3,2022-05,950.74,23.93,1
SPLR-001,Tier 1,2022-06,1263.29,24.2,0
SPLR-002,Tier 3,2022-06,1024.83,24.98,0
SPLR-003,Tier 3,2022-06,1147.11,20.86,1
SPLR-004,Tier 3,2022-06,1061.24,27.01,0
SPLR-005,Tier 2,2022-06,1017.3,27.29,1
SPLR-006,Tier 3,2022-06,1095.94,29.92,1
SPLR-007,Tier 1,2022-06,1178.76,25.27,3
SPLR-008,Tier 2,2022-06,1343.84,34.08,1
SPLR-009,Tier 2,2022-06,1060.82,29.88,1
SPLR-010,Tier 3,2022-06,1051.91,18.22,0
SPLR-011,Tier 3,2022-06,943.79,25.75,3
SPLR-012,Tier 2,2022-06,1284.6,22.12,1
SPLR-013,Tier 3,2022-06,852.96,34.16,2
SPLR-014,Tier 1,2022-06,1067.98,23.59,2
SPLR-015,Tier 3,2022-06,794.61,31.77,3
SPLR-016,Tier 3,2022-06,811.81,22.0,0
SPLR-017,Tier 2,2022-06,1134.09,26.51,5
SPLR-018,Tier 3,2022-06,1022.85,17.0,0
SPLR-019,Tier 3,2022-06,1105.99,27.57,0
SPLR-020,Tier 1,2022-06,1310.35,32.71,1
SPLR-021,Tier 3,2022-06,1130.6,35.24,1
SPLR-022,Tier 3,2022-06,1115.95,30.77,0
SPLR-023,Tier 3,2022-06,1034.74,29.86,0
SPLR-024,Tier 3,2022-06,1415.65,29.39,0
SPLR-025,Tier 1,2022-06,1309.87,16.21,3
SPLR-026,Tier 2,2022-06,1419.05,25.37,1
SPLR-027,Tier 1,2022-06,796.01,24.72,3
SPLR-028,Tier 3,2022-06,855.39,28.35,0
SPLR-029,Tier 3,2022-06,887.32,27.44,0
SPLR-030,Tier 3,2022-06,1070.09,29.78,1
SPLR-031,Tier 2,2022-06,983.56,21.04,0
SPLR-032,Tier 1,2022-06,835.62,24.04,2
SPLR-033,Tier 3,2022-06,953.95,26.07,2
SPLR-034,Tier 3,2022-06,1261.86,21.9,1
SPLR-035,Tier 1,2022-06,980.54,18.86,2
SPLR-036,Tier 2,2022-06,1456.02,23.75,0
SPLR-037,Tier 1,2022-06,1261.87,20.06,3
SPLR-038,Tier 3,2022-06,1424.54,12.72,0
SPLR-039,Tier 3,2022-06,944.26,17.89,0
SPLR-040,Tier 1,2022-06,893.74,21.73,1
SPLR-041,Tier 2,2022-06,1125.7,29.55,2
SPLR-042,Tier 3,2022-06,1097.46,20.69,0
SPLR-043,Tier 2,2022-06,999.61,32.91,0
SPLR-044,Tier 3,2022-06,924.17,18.09,1
SPLR-045,Tier 2,2022-06,840.99,27.81,0
SPLR-046,Tier 2,2022-06,996.44,21.87,0
SPLR-047,Tier 3,2022-06,972.6,20.68,0
SPLR-048,Tier 3,2022-06,689.14,28.42,1
SPLR-049,Tier 2,2022-06,1161.17,24.58,2
SPLR-050,Tier 2,2022-06,1184.58,20.11,2
SPLR-051,Tier 3,2022-06,1280.58,21.19,0
SPLR-052,Tier 3,2022-06,943.08,15.98,0
SPLR-053,Tier 2,2022-06,996.35,23.47,1
SPLR-054,Tier 3,2022-06,881.27,26.34,0
SPLR-055,Tier 1,2022-06,962.23,25.24,1
SPLR-056,Tier 2,2022-06,1297.61,22.12,0
SPLR-057,Tier 2,2022-06,1321.23,28.86,1
SPLR-058,Tier 3,2022-06,786.47,19.84,3
SPLR-059,Tier 2,2022-06,1115.9,25.45,0
SPLR-060,Tier 2,2022-06,1099.29,24.22,2
SPLR-061,Tier 1,2022-06,972.23,27.94,1
SPLR-062,Tier 3,2022-06,1193.7,30.17,0
SPLR-063,Tier 2,2022-06,1266.36,23.37,1
SPLR-064,Tier 3,2022-06,749.38,19.96,0
SPLR-065,Tier 3,2022-06,1308.26,20.78,0
SPLR-066,Tier 1,2022-06,1147.98,23.9,3
SPLR-067,Tier 2,2022-06,828.94,30.72,0
SPLR-068,Tier 3,2022-06,1186.38,31.24,0
SPLR-069,Tier 2,2022-06,1118.34,26.24,0
SPLR-070,Tier 1,2022-06,888.9,20.91,1
SPLR-071,Tier 3,2022-06,1420.95,27.01,1
SPLR-072,Tier 3,2022-06,1364.99,22.78,0
SPLR-073,Tier 2,2022-06,1240.56,20.39,2
SPLR-074,Tier 3,2022-06,806.29,26.4,0
SPLR-075,Tier 3,2022-06,785.27,32.48,0
SPLR-076,Tier 1,2022-06,1118.07,38.22,1
SPLR-077,Tier 1,2022-06,1492.49,27.95,2
SPLR-078,Tier 2,2022-06,1519.61,31.73,1
SPLR-079,Tier 2,2022-06,905.36,24.37,2
SPLR-080,Tier 2,2022-06,1710.66,27.62,1
SPLR-081,Tier 3,2022-06,1312.84,22.09,0
SPLR-082,Tier 3,2022-06,901.7,16.73,0
SPLR-083,Tier 3,2022-06,1038.31,28.14,0
SPLR-084,Tier 1,2022-06,1018.66,33.35,1
SPLR-085,Tier 2,2022-06,1035.34,23.64,1
SPLR-086,Tier 2,2022-06,1038.11,28.48,1
SPLR-087,Tier 3,2022-06,1031.03,19.47,0
SPLR-088,Tier 2,2022-06,1082.39,25.79,1
SPLR-089,Tier 1,2022-06,939.81,28.37,2
SPLR-090,Tier 2,2022-06,1075.88,22.28,1
SPLR-091,Tier 2,2022-06,1033.62,32.52,1
SPLR-092,Tier 2,2022-06,1354.96,14.63,0
SPLR-093,Tier 2,2022-06,1140.33,23.73,1
SPLR-094,Tier 3,2022-06,1257.74,18.37,0
SPLR-095,Tier 2,2022-06,1281.19,31.36,0
SPLR-096,Tier 3,2022-06,953.14,21.36,1
SPLR-097,Tier 3,2022-06,1101.7,24.35,0
SPLR-098,Tier 1,2022-06,868.18,28.56,0
SPLR-099,Tier 3,2022-06,1253.35,20.3,2
SPLR-100,Tier 3,2022-06,890.55,28.08,0
SPLR-001,Tier 3,2022-07,800.85,33.82,2
SPLR-002,Tier 3,2022-07,953.16,17.96,0
SPLR-003,Tier 3,2022-07,1240.42,17.93,0
SPLR-004,Tier 1,2022-07,743.48,33.48,3
SPLR-005,Tier 2,2022-07,1074.94,30.52,2
SPLR-006,Tier 2,2022-07,1596.36,28.36,0
SPLR-007,Tier 2,2022-07,1116.12,24.08,2
SPLR-008,Tier 1,2022-07,806.67,27.76,3
SPLR-009,Tier 2,2022-07,1449.62,32.85,1
SPLR-010,Tier 3,2022-07,1051.84,29.03,0
SPLR-011,Tier 2,2022-07,966.93,25.13,0
SPLR-012,Tier 3,2022-07,1016.42,25.99,0
SPLR-013,Tier 2,2022-07,969.25,17.97,0
SPLR-014,Tier 2,2022-07,1378.43,20.58,0
SPLR-015,Tier 3,2022-07,911.95,38.16,2
SPLR-016,Tier 3,2022-07,1207.58,17.4,0
SPLR-017,Tier 3,2022-07,1717.28,24.52,0
SPLR-018,Tier 3,2022-07,1015.66,26.21,0
SPLR-019,Tier 1,2022-07,1075.45,33.85,2
SPLR-020,Tier 2,2022-07,1184.32,27.66,1
SPLR-021,Tier 3,2022-07,787.52,30.72,0
SPLR-022,Tier 3,2022-07,1067.83,28.1,0
SPLR-023,Tier 3,2022-07,1311.32,25.6,1
SPLR-024,Tier 3,2022-07,1364.81,30.31,1
SPLR-025,Tier 1,2022-07,821.8,24.71,2
SPLR-026,Tier 3,2022-07,1169.44,26.04,0
SPLR-027,Tier 3,2022-07,1254.4,25.67,0
SPLR-028,Tier 3,2022-07,890.55,30.27,3
SPLR-029,Tier 1,2022-07,1087.8,25.15,2
SPLR-030,Tier 3,2022-07,839.99,27.51,0
SPLR-031,Tier 1,2022-07,1126.49,22.61,2
SPLR-032,Tier 1,2022-07,1165.85,15.35,4
SPLR-033,Tier 3,2022-07,1098.44,30.33,3
SPLR-034,Tier 3,2022-07,985.86,32.05,0
SPLR-035,Tier 2,2022-07,1277.53,26.57,2
SPLR-036,Tier 1,2022-07,1438.95,22.39,1
SPLR-037,Tier 3,2022-07,849.24,20.41,0
SPLR-038,Tier 2,2022-07,763.63,18.96,1
SPLR-039,Tier 3,2022-07,1050.39,20.87,2
SPLR-040,Tier 3,2022-07,883.89,26.91,1
SPLR-041,Tier 2,2022-07,1115.24,27.46,1
SPLR-042,Tier 3,2022-07,964.68,22.35,0
SPLR-043,Tier 3,2022-07,1196.27,21.89,0
SPLR-044,Tier 3,2022-07,1398.25,22.15,1
SPLR-045,Tier 2,2022-07,979.67,28.16,0
SPLR-046,Tier 3,2022-07,1655.63,29.69,0
SPLR-047,Tier 2,2022-07,969.03,23.06,5
SPLR-048,Tier 2,2022-07,1048.27,21.01,1
SPLR-049,Tier 3,2022-07,1075.81,33.97,0
SPLR-050,Tier 2,2022-07,1226.72,19.7,0
SPLR-051,Tier 2,2022-07,1079.06,30.94,1
SPLR-052,Tier 3,2022-07,990.82,30.22,1
SPLR-053,Tier 1,2022-07,1202.44,23.2,7
SPLR-054,Tier 2,2022-07,1388.62,28.24,0
SPLR-055,Tier 3,2022-07,1012.34,20.83,1
SPLR-056,Tier 3,2022-07,1167.05,27.0,0
SPLR-057,Tier 1,2022-07,1120.21,25.23,2
SPLR-058,Tier 2,2022-07,1417.2,26.07,0
SPLR-059,Tier 2,2022-07,1132.04,32.89,1
SPLR-060,Tier 3,2022-07,1207.65,25.93,0
SPLR-061,Tier 3,2022-07,1117.07,27.04,0
SPLR-062,Tier 3,2022-07,1313.47,19.87,0
SPLR-063,Tier 2,2022-07,780.86,29.83,1
SPLR-064,Tier 1,2022-07,1156.33,22.37,0
SPLR-065,Tier 3,2022-07,1435.31,24.67,1
SPLR-066,Tier 3,2022-07,833.53,14.01,0
SPLR-067,Tier 3,2022-07,1216.56,29.94,0
SPLR-068,Tier 3,2022-07,1130.9,22.18,1
SPLR-069,Tier 3,2022-07,1216.9,24.5,0
SPLR-070,Tier 1,2022-07,867.38,33.3,2
SPLR-071,Tier 3,2022-07,1036.18,26.76,0
SPLR-072,Tier 2,2022-07,1096.84,23.85,1
SPLR-073,Tier 3,2022-07,1185.56,24.86,0
SPLR-074,Tier 3,2022-07,1151.26,27.28,2
SPLR-075,Tier 1,2022-07,912.78,26.62,0
SPLR-076,Tier 1,2022-07,1121.3,28.55,2
SPLR-077,Tier 1,2022-07,1157.98,21.21,1
SPLR-078,Tier 3,2022-07,946.91,24.93,0
SPLR-079,Tier 2,2022-07,1259.42,21.74,0
SPLR-080,Tier 3,2022-07,1029.54,24.87,0
SPLR-081,Tier 3,2022-07,997.48,12.88,0
SPLR-082,Tier 2,2022-07,1301.65,19.53,2
SPLR-083,Tier 3,2022-07,909.07,24.76,0
SPLR-084,Tier 2,2022-07,1669.02,24.89,2
SPLR-085,Tier 2,2022-07,1123.7,14.79,0
SPLR-086,Tier 3,2022-07,1030.97,24.57,0
SPLR-087,Tier 3,2022-07,903.4,23.59,0
SPLR-088,Tier 1,2022-07,1293.54,28.12,1
SPLR-089,Tier 2,2022-07,1137.39,21.01,1
SPLR-090,Tier 2,2022-07,1500.54,26.79,3
SPLR-091,Tier 1,2022-07,1104.84,29.75,3
SPLR-092,Tier 3,2022-07,1012.49,26.02,0
SPLR-093,Tier 3,2022-07,962.3,22.58,1
SPLR-094,Tier 2,2022-07,1189.27,22.13,1
SPLR-095,Tier 3,2022-07,1477.86,27.18,0
SPLR-096,Tier 3,2022-07,883.07,27.82,1
SPLR-097,Tier 2,2022-07,1317.6,24.45,2
SPLR-098,Tier 1,2022-07,867.61,17.68,1
SPLR-099,Tier 1,2022-07,1126.96,30.24,3
SPLR-100,Tier 3,2022-07,1049.08,29.42,0
SPLR-001,Tier 3,2022-08,1250.34,25.9,0
SPLR-002,Tier 3,2022-08,1412.46,31.9,1
SPLR-003,Tier 3,2022-08,1183.11,26.3,0
SPLR-004,Tier 3,2022-08,1147.34,23.54,0
SPLR-005,Tier 1,2022-08,1193.73,23.15,2
SPLR-006,Tier 1,2022-08,878.67,26.6,2
SPLR-007,Tier 2,2022-08,856.9,30.8,1
SPLR-008,Tier 3,2022-08,1073.14,27.39,0
SPLR-009,Tier 3,2022-08,741.71,26.27,1
SPLR-010,Tier 3,2022-08,1216.62,18.04,1
SPLR-011,Tier 3,2022-08,1260.88,31.11,0
SPLR-012,Tier 2,2022-08,1159.43,27.15,2
SPLR-013,Tier 2,2022-08,1020.3,22.25,0
SPLR-014,Tier 1,2022-08,1234.01,25.26,0
SPLR-015,Tier 3,2022-08,1057.0,19.83,1
SPLR-016,Tier 3,2022-08,973.23,25.05,0
SPLR-017,Tier 2,2022-08,1276.73,26.73,1
SPLR-018,Tier 3,2022-08,1577.23,24.3,0
SPLR-019,Tier 1,2022-08,913.75,28.22,2
SPLR-020,Tier 3,2022-08,967.11,34.57,1
SPLR-021,Tier 3,2022-08,1266.12,27.48,2
SPLR-022,Tier 3,2022-08,1287.51,26.54,0
SPLR-023,Tier 3,2022-08,1321.04,30.94,0
SPLR-024,Tier 3,2022-08,889.18,33.16,1
SPLR-025,Tier 1,2022-08,1297.34,23.74,4
SPLR-026,Tier 3,2022-08,1341.19,18.86,2
SPLR-027,Tier 2,2022-08,1365.67,23.69,0
SPLR-028,Tier 3,2022-08,1049.0,25.08,0
SPLR-029,Tier 3,2022-08,859.48,16.78,1
SPLR-030,Tier 3,2022-08,817.93,23.48,0
SPLR-031,Tier 3,2022-08,1455.24,30.05,1
SPLR-032,Tier 2,2022-08,1291.88,23.38,1
SPLR-033,Tier 3,2022-08,842.36,16.77,0
SPLR-034,Tier 1,2022-08,1647.07,28.63,4
SPLR-035,Tier 3,2022-08,1241.0,26.41,0
SPLR-036,Tier 3,2022-08,1046.01,27.77,0
SPLR-037,Tier 2,2022-08,797.51,24.51,0
SPLR-038,Tier 3,2022-08,1289.36,21.91,0
SPLR-039,Tier 2,2022-08,1277.19,17.15,1
SPLR-040,Tier 2,2022-08,906.53,23.88,0
SPLR-041,Tier 3,2022-08,908.7,27.76,0
SPLR-042,Tier 2,2022-08,971.02,26.6,1
SPLR-043,Tier 1,2022-08,1078.43,27.76,2
SPLR-044,Tier 1,2022-08,1178.41,25.7,3
SPLR-045,Tier 2,2022-08,1184.3,18.52,1
SPLR-046,Tier 3,2022-08,1029.83,28.76,0
SPLR-047,Tier 3,2022-08,950.74,29.47,1
SPLR-048,Tier 2,2022-08,958.48,26.39,1
SPLR-049,Tier 3,2022-08,873.61,26.55,2
SPLR-050,Tier 2,2022-08,1349.71,33.12,1
SPLR-051,Tier 3,2022-08,1408.12,16.57,0
SPLR-052,Tier 3,2022-08,936.24,33.2,0
SPLR-053,Tier 3,2022-08,1290.63,30.52,1
SPLR-054,Tier 1,2022-08,1142.98,22.33,2
SPLR-055,Tier 3,2022-08,974.48,19.93,0
SPLR-056,Tier 1,2022-08,973.62,24.01,1
SPLR-057,Tier 3,2022-08,967.45,28.51,0
SPLR-058,Tier 2,2022-08,1148.8,29.17,1
SPLR-059,Tier 1,2022-08,1350.46,18.95,4
SPLR-060,Tier 2,2022-08,1101.24,21.6,1
SPLR-061,Tier 3,2022-08,905.19,28.15,0
SPLR-062,Tier 2,2022-08,1060.76,20.48,1
SPLR-063,Tier 3,2022-08,1317.66,28.05,1
SPLR-064,Tier 3,2022-08,888.75,23.42,2
SPLR-065,Tier 2,2022-08,1097.03,31.14,1
SPLR-066,Tier 3,2022-08,984.05,26.81,2
SPLR-067,Tier 2,2022-08,939.23,18.34,0
SPLR-068,Tier 3,2022-08,1099.41,28.54,0
SPLR-069,Tier 1,2022-08,886.98,14.24,5
SPLR-070,Tier 3,2022-08,1098.35,24.51,0
SPLR-071,Tier 3,2022-08,1199.09,28.0,0
SPLR-072,Tier 3,2022-08,1048.64,21.22,0
SPLR-073,Tier 3,2022-08,897.73,31.57,2
SPLR-074,Tier 3,2022-08,1077.38,29.09,0
SPLR-075,Tier 2,2022-08,962.47,27.65,1
SPLR-076,Tier 1,2022-08,1012.09,20.04,0
SPLR-077,Tier 3,2022-08,1093.37,27.65,1
SPLR-078,Tier 2,2022-08,1094.91,15.12,1
SPLR-079,Tier 2,2022-08,870.13,28.0,2
SPLR-080,Tier 3,2022-08,955.86,24.69,1
SPLR-081,Tier 3,2022-08,977.65,22.95,0
SPLR-082,Tier 2,2022-08,968.92,23.49,1
SPLR-083,Tier 2,2022-08,1114.06,25.02,2
SPLR-084,Tier 2,2022-08,1184.28,36.44,1
SPLR-085,Tier 2,2022-08,1057.46,29.95,0
SPLR-086,Tier 2,2022-08,876.37,15.99,3
SPLR-087,Tier 1,2022-08,975.39,12.04,0
SPLR-088,Tier 2,2022-08,1264.53,21.02,0
SPLR-089,Tier 3,2022-08,828.9,25.92,0
SPLR-090,Tier 3,2022-08,904.63,24.85,0
SPLR-091,Tier 3,2022-08,1342.91,24.21,0
SPLR-092,Tier 3,2022-08,872.75,24.8,0
SPLR-093,Tier 2,2022-08,1049.02,33.56,1
SPLR-094,Tier 3,2022-08,1411.09,23.95,3
SPLR-095,Tier 1,2022-08,970.28,34.13,2
SPLR-096,Tier 2,2022-08,1065.15,29.61,3
SPLR-097,Tier 2,2022-08,964.2,25.84,1
SPLR-098,Tier 3,2022-08,1099.7,33.61,1
SPLR-099,Tier 3,2022-08,1129.51,22.73,0
SPLR-100,Tier 2,2022-08,848.83,20.14,0
SPLR-001,Tier 2,2022-09,1223.52,30.79,0
SPLR-002,Tier 2,2022-09,1340.28,28.59,0
SPLR-003,Tier 2,2022-09,1207.49,31.56,1
SPLR-004,Tier 3,2022-09,1138.55,20.37,1
SPLR-005,Tier 3,2022-09,974.18,25.19,2
SPLR-006,Tier 1,2022-09,1093.44,26.34,4
SPLR-007,Tier 1,2022-09,1196.58,23.95,1
SPLR-008,Tier 3,2022-09,791.1,15.26,1
SPLR-009,Tier 3,2022-09,991.83,23.34,0
SPLR-010,Tier 2,2022-09,1143.95,29.08,0
SPLR-011,Tier 3,2022-09,1143.27,26.33,2
SPLR-012,Tier 3,2022-09,1034.79,33.04,2
SPLR-013,Tier 3,2022-09,897.37,27.51,0
SPLR-014,Tier 2,2022-09,1163.15,21.74,1
SPLR-015,Tier 1,2022-09,1353.05,25.11,3
SPLR-016,Tier 1,2022-09,1198.46,16.2,4
SPLR-017,Tier 2,2022-09,1034.46,24.9,0
SPLR-018,Tier 2,2022-09,1042.22,20.75,1
SPLR-019,Tier 3,2022-09,1462.58,26.97,1
SPLR-020,Tier 1,2022-09,1342.93,21.95,1
SPLR-021,Tier 2,2022-09,939.41,28.24,1
SPLR-022,Tier 3,2022-09,922.19,22.81,0
SPLR-023,Tier 1,2022-09,933.96,14.53,4
SPLR-024,Tier 3,2022-09,821.94,31.31,1
SPLR-025,Tier 2,2022-09,979.73,37.79,1
SPLR-026,Tier 2,2022-09,1429.26,35.03,1
SPLR-027,Tier 3,2022-09,1301.78,27.96,0
SPLR-028,Tier 1,2022-09,1080.88,31.56,0
SPLR-029,Tier 3,2022-09,1049.55,22.73,1
SPLR-030,Tier 3,2022-09,1099.65,32.39,0
SPLR-031,Tier 1,2022-09,1001.18,20.57,1
SPLR-032,Tier 2,2022-09,1180.13,18.17,4
SPLR-033,Tier 1,2022-09,1348.85,27.91,0
SPLR-034,Tier 3,2022-09,1331.06,23.48,0
SPLR-035,Tier 3,2022-09,1520.32,32.72,0
SPLR-036,Tier 1,2022-09,839.14,19.13,0
SPLR-037,Tier 2,2022-09,1110.11,16.16,0
SPLR-038,Tier 3,2022-09,1303.87,24.03,1
SPLR-039,Tier 2,2022-09,1045.4,31.95,1
SPLR-040,Tier 3,2022-09,1123.16,23.11,0
SPLR-041,Tier 3,2022-09,1460.3,22.71,1
SPLR-042,Tier 3,2022-09,903.93,26.51,1
SPLR-043,Tier 3,2022-09,1062.88,23.98,0
SPLR-044,Tier 3,2022-09,1153.82,23.89,0
SPLR-045,Tier 3,2022-09,1276.1,20.98,0
SPLR-046,Tier 3,2022-09,984.3,24.93,0
SPLR-047,Tier 3,2022-09,698.97,29.42,0
SPLR-048,Tier 3,2022-09,1131.57,25.44,0
SPLR-049,Tier 3,2022-09,816.49,22.35,2
SPLR-050,Tier 3,2022-09,885.85,27.84,0
SPLR-051,Tier 3,2022-09,1177.23,24.82,1
SPLR-052,Tier 3,2022-09,947.97,20.95,1
SPLR-053,Tier 2,2022-09,901.09,25.31,2
SPLR-054,Tier 2,2022-09,1158.92,34.06,0
SPLR-055,Tier 2,2022-09,891.99,10.39,0
SPLR-056,Tier 3,2022-09,998.19,35.05,0
SPLR-057,Tier 3,2022-09,1210.11,35.29,0
SPLR-058,Tier 3,2022-09,1392.4,25.29,0
SPLR-059,Tier 3,2022-09,963.25,21.0,0
SPLR-060,Tier 2,2022-09,1334.55,21.16,1
SPLR-061,Tier 1,2022-09,1014.14,27.56,3
SPLR-062,Tier 2,2022-09,1070.41,21.32,2
SPLR-063,Tier 2,2022-09,1142.17,21.24,1
SPLR-064,Tier 2,2022-09,1104.59,17.81,0
SPLR-065,Tier 3,2022-09,1155.39,31.84,1
SPLR-066,Tier 1,2022-09,1242.44,24.04,1
SPLR-067,Tier 2,2022-09,1292.07,28.28,0
SPLR-068,Tier 3,2022-09,1018.85,22.98,0
SPLR-069,Tier 3,2022-09,1142.01,28.8,0
SPLR-070,Tier 1,2022-09,1569.89,19.66,0
SPLR-071,Tier 2,2022-09,1120.29,26.21,2
SPLR-072,Tier 3,2022-09,893.56,27.14,1
SPLR-073,Tier 2,2022-09,1340.69,37.95,2
SPLR-074,Tier 2,2022-09,935.95,27.98,3
SPLR-075,Tier 2,2022-09,1024.58,15.22,2
SPLR-076,Tier 3,2022-09,1367.45,24.89,0
SPLR-077,Tier 3,2022-09,1194.21,20.8,1
SPLR-078,Tier 3,2022-09,977.36,22.95,0
SPLR-079,Tier 3,2022-09,1448.27,23.39,1
SPLR-080,Tier 3,2022-09,1295.75,22.84,0
SPLR-081,Tier 2,2022-09,1089.69,25.68,0
SPLR-082,Tier 1,2022-09,874.96,30.94,1
SPLR-083,Tier 2,2022-09,1138.98,23.71,0
SPLR-084,Tier 3,2022-09,987.3,28.89,1
SPLR-085,Tier 3,2022-09,763.29,25.63,0
SPLR-086,Tier 3,2022-09,1187.35,25.9,2
